quarter,alpha,cei,regime,m_neo,q,target,pw_price
2026Q4,0.8741666666666666,0.47419632959724106,neo,9.00618929794091,1.07,144.18423377709607,147.37362102189093
2026Q4,0.8741666666666666,0.47419632959724106,neo,9.579454253611557,1.07,147.51483349509553,150.7423210226511
2026Q4,0.8741666666666666,0.47419632959724106,neo,9.55287292382499,1.07,147.36039919972228,150.58612008138226
2026Q4,0.8741666666666666,0.47419632959724106,neo,9.48021805519851,1.07,146.93828324345287,150.15917534391625
2026Q4,0.8741666666666666,0.47419632959724106,neo,8.986696412896269,1.07,144.07098248414596,147.25907419460773
2026Q4,0.8741666666666666,0.47419632959724106,neo,8.688102945049158,1.07,142.33619072691278,145.50443734577607
2026Q4,0.8741666666666666,0.47419632959724106,neo,8.438241013822356,1.07,140.8845232746276,144.03616359279746
2026Q4,0.8741666666666666,0.47419632959724106,neo,8.065220228167636,1.07,138.7173178468056,141.84416649182594
2026Q4,0.8741666666666666,0.47419632959724106,neo,8.091800881962905,1.07,138.87174821475162,142.00036346073986
2026Q4,0.8741666666666666,0.47419632959724106,neo,8.078510217069622,1.07,138.79453106706498,141.92226299010542
2026Q4,0.8741666666666666,0.47419632959724106,neo,8.656205619701796,1.07,142.15087114343575,145.31699780519543
2026Q4,0.8741666666666666,0.47419632959724106,neo,8.927332209163072,1.07,143.72608367556322,146.9102299277762
2026Q4,0.8741666666666666,0.47419632959724106,neo,8.790882689841869,1.07,142.9333285523398,146.10840610914886
2026Q4,0.8741666666666666,0.47419632959724106,neo,7.973958023095782,1.07,138.18709552731855,141.30787871205874
2026Q4,0.8741666666666666,0.47419632959724106,neo,7.877380498454429,1.07,137.62599184715503,140.74035630533473
2026Q4,0.8741666666666666,0.47419632959724106,neo,7.568154363494433,1.07,135.8294255862871,138.92323828552458
2026Q4,0.8741666666666666,0.47419632959724106,neo,6.994003183233222,1.07,132.4936770111279,135.5493305274274
2026Q4,0.8741666666666666,0.47419632959724106,neo,8.152937534877232,1.07,139.2269447376538,142.3596232422453
2026Q4,0.8741666666666666,0.47419632959724106,neo,7.96421158057346,1.07,138.1304698808435,141.25060529841716
2026Q4,0.8741666666666666,0.47419632959724106,neo,9.20377547017644,1.07,145.3321854232217,148.5347046220237
2026Q4,0.8741666666666666,0.47419632959724106,neo,9.74780109828012,1.07,148.49290820179604,151.73158438185914
2026Q4,0.8741666666666666,0.47419632959724106,neo,9.569707811089236,1.07,147.4582078486205,150.68504760900953
2026Q4,0.8741666666666666,0.47419632959724106,neo,9.16567592467772,1.07,145.1108316944812,148.31081872479427
2026Q4,0.8741666666666666,0.47419632959724106,neo,9.638818457344753,1.07,147.85973230367827,151.09116528948266
2026Q4,0.8741666666666666,0.47419632959724106,neo,9.419082078275482,1.07,146.58309064797797,149.79991953476576
